"
","Day-ahead","Front Month","Front Quarter","Front Season","Second Season","Third Season","Fourth Season"
"01-01-2006",0.63,0.6,0.87,0.68,0.7,1.1,0.9
"01-02-2006",0.71,0.64,0.91,0.86,0.57,0.91,0.6
"01-03-2006",1.16,0.6,1.03,1.01,0.58,1.15,0.75
"01-04-2006",0.7,0.6,0.97,0.56,0.91,0.71,0.97
"01-05-2006",0.97,0.75,0.75,0.54,0.83,0.53,0.79
"01-06-2006",1.29,0.59,1,0.57,0.76,0.59,0.81
"01-07-2006",0.74,0.68,0.73,0.51,0.65,0.6,0.82
"01-08-2006",0.86,0.46,0.72,0.52,0.62,0.61,0.87
"01-09-2006",1.19,0.64,0.97,0.66,0.66,0.8,0.96
"01-10-2006",1.66,0.55,0.71,0.86,0.77,1.03,1
"01-11-2006",1.29,0.59,0.72,0.74,0.7,0.95,0.87
"01-12-2006",1.44,0.88,1.19,1.22,0.99,1.37,1.1
"01-01-2007",1.68,1,2.23,1.08,0.84,1.1,1.03
"01-02-2007",1.99,1.17,1.85,1.16,0.83,1.2,1.33
"01-03-2007",2.38,1.08,1.74,1.36,0.83,1.23,1.04
"01-04-2007",2.75,0.86,0.95,0.78,0.99,0.99,1.48
"01-05-2007",2.23,0.94,1.46,0.76,0.73,1.01,1.26
"01-06-2007",2.35,0.74,0.92,0.66,0.73,0.94,1.15
"01-07-2007",2.93,0.76,1.27,0.61,0.82,0.77,1.25
"01-08-2007",1.82,0.83,1.14,0.62,0.67,0.76,1.08
"01-09-2007",1.73,0.67,0.92,0.63,0.86,0.64,0.79
"01-10-2007",1.37,0.74,0.76,0.74,0.78,1.02,0.83
"01-11-2007",0.89,0.65,0.81,0.71,0.85,1.04,1
"01-12-2007",1.15,0.63,0.94,0.83,0.74,1.3,1.24
"01-01-2008",0.73,0.63,1.19,0.82,0.75,1.02,0.97
"01-02-2008",1.12,0.58,1.21,0.84,0.68,1.16,0.9
"01-03-2008",0.88,0.4,0.94,0.62,0.51,1.01,0.7
"01-04-2008",0.83,0.38,0.74,0.62,0.74,0.7,0.91
"01-05-2008",0.85,0.4,0.63,0.56,0.55,0.69,0.94
"01-06-2008",0.74,0.41,0.68,0.49,0.57,0.68,0.9
"01-07-2008",0.78,0.29,0.96,0.52,0.67,0.72,0.78
"01-08-2008",0.82,0.4,0.77,0.6,0.76,0.68,1.09
"01-09-2008",0.71,0.33,0.69,0.67,0.66,0.67,0.95
"01-10-2008",0.95,0.62,0.87,0.69,0.74,1.17,1.11
"01-11-2008",0.7,0.57,1.08,0.8,0.88,1.19,1.21
"01-12-2008",1.34,0.83,1.22,0.96,0.89,1.3,1.12
"01-01-2009",1.33,0.84,2.03,1.03,0.92,1.57,1.26
"01-02-2009",1.92,0.93,1.96,1.05,0.86,1.49,1.26
"01-03-2009",1.88,0.85,1.48,1.09,0.79,1.28,1.14
"01-04-2009",2.16,0.8,0.99,0.57,0.75,0.73,1.17
"01-05-2009",1.43,0.47,1.19,0.61,0.8,0.81,1.19
"01-06-2009",1.57,0.61,1.11,0.62,0.86,0.75,0.91
"01-07-2009",2.02,0.74,0.97,0.69,0.82,1.03,1.23
"01-08-2009",2.35,0.67,1.24,0.7,0.63,0.74,0.69
"01-09-2009",1.1,0.47,1.38,0.83,0.79,0.88,0.99
"01-10-2009",0.7,0.47,0.55,0.72,0.55,0.82,0.73
"01-11-2009",0.68,0.42,0.51,0.48,0.61,0.94,0.9
"01-12-2009",0.72,0.67,1.02,0.89,0.81,1.22,1.11
"01-01-2010",0.64,0.6,1.53,0.82,0.82,1.17,1.14
"01-02-2010",0.61,0.49,1.21,0.68,0.7,1.07,1.08
"01-03-2010",0.8,0.6,1.76,1.13,0.67,1.1,1.09
"01-04-2010",0.73,0.8,0.94,0.81,0.99,1.15,1.44
"01-05-2010",0.64,0.6,0.78,0.6,0.93,0.96,1.43
"01-06-2010",0.67,0.64,1.17,0.75,1.11,1.15,1.42
"01-07-2010",0.56,0.65,1.87,0.67,1.01,1.01,1.24
"01-08-2010",0.55,0.68,1.61,0.69,1.03,1.11,1.4
"01-09-2010",0.66,0.5,1.61,0.64,0.74,0.77,1.17
"01-10-2010",0.56,0.58,0.84,0.56,0.64,0.86,1.01
"01-11-2010",0.52,0.53,0.56,0.49,0.49,0.71,0.88
"01-12-2010",0.49,0.53,0.99,0.7,0.65,1.15,0.92
"01-01-2011",0.44,0.44,1.75,0.44,0.51,0.82,0.93
"01-02-2011",0.48,0.51,1.69,0.46,0.44,0.79,0.75
"01-03-2011",0.47,0.45,1.43,0.53,0.39,0.63,0.62
"01-04-2011",0.41,0.5,0.51,0.5,0.55,0.64,0.75
"01-05-2011",0.43,0.41,0.48,0.39,0.56,0.78,0.88
"01-06-2011",0.39,0.43,0.67,0.44,0.69,0.63,0.71
"01-07-2011",0.45,0.59,0.71,0.39,0.68,0.66,0.79
"01-08-2011",0.65,0.47,0.77,0.43,0.58,0.7,0.98
"01-09-2011",0.56,0.55,0.75,0.55,0.64,0.71,0.89
"01-10-2011",0.48,0.46,0.64,0.64,0.7,0.88,0.97
"01-11-2011",0.59,0.44,0.56,0.52,0.55,1.01,0.95
"01-12-2011",0.49,0.55,1.02,0.68,0.75,1.25,1.22
"01-01-2012",0.54,0.53,1.82,0.7,0.76,0.87,0.94
"01-02-2012",0.44,0.61,1.79,0.65,0.56,0.84,0.99
"01-03-2012",0.47,0.56,1.39,0.71,0.54,0.85,0.89
"01-04-2012",0.48,0.7,0.91,0.62,0.68,0.78,1.12
"01-05-2012",0.46,0.52,0.9,0.48,0.7,0.76,1.1
"01-06-2012",0.49,0.58,1.05,0.46,0.7,0.86,1.2
"01-07-2012",0.49,0.57,1.16,0.46,0.84,0.83,1.01
"01-08-2012",0.55,0.52,1.15,0.42,0.83,0.85,0.97
"01-09-2012",0.47,0.49,0.97,0.5,0.76,0.77,0.9
"01-10-2012",0.48,0.47,0.78,0.42,0.63,0.89,0.89
"01-11-2012",0.47,0.44,0.58,0.43,0.47,0.9,0.9
"01-12-2012",0.51,0.42,0.85,0.52,0.67,0.83,0.99
"01-01-2013",0.4,0.42,0.97,0.44,0.44,0.79,0.81
"01-02-2013",0.49,0.44,1.07,0.63,0.58,0.77,0.8
"01-03-2013",0.43,0.49,1.06,0.49,0.55,0.6,0.71
"01-04-2013",0.39,0.48,0.72,0.41,0.57,0.58,0.78
"01-05-2013",0.41,0.5,0.59,0.41,0.5,0.51,0.77
"01-06-2013",0.45,0.45,0.55,0.38,0.53,0.46,0.71
"01-07-2013",0.43,0.4,0.64,0.36,0.48,0.36,0.5
"01-08-2013",0.42,0.44,0.53,0.37,0.47,0.36,0.47
"01-09-2013",0.4,0.42,0.68,0.39,0.49,0.47,0.54
"01-10-2013",0.42,0.33,0.45,0.33,0.31,0.45,0.43
"01-11-2013",0.34,0.41,0.33,0.25,0.24,0.48,0.42
"01-12-2013",0.37,0.39,0.57,0.38,0.42,0.45,0.57
"01-01-2014",0.37,0.44,0.79,0.32,0.28,0.29,0.36
"01-02-2014",0.4,0.54,0.95,0.6,0.53,0.46,0.41
"01-03-2014",0.43,0.5,1.13,0.67,0.52,0.56,0.37
"01-04-2014",0.48,0.34,0.47,0.38,0.34,0.32,0.44
"01-05-2014",0.44,0.39,0.42,0.32,0.28,0.3,0.36
"01-06-2014",0.22,0.4,0.57,0.28,0.31,0.27,0.42
"01-07-2014",0.33,0.36,0.48,0.28,0.27,0.28,0.41
"01-08-2014",0.32,0.31,0.41,0.26,0.22,0.3,0.32
"01-09-2014",0.25,0.28,0.33,0.27,0.3,0.26,0.26
"01-10-2014",0.25,0.24,0.33,0.22,0.25,0.37,0.24
"01-11-2014",0.21,0.23,0.25,0.22,0.25,0.27,0.3
"01-12-2014",0.25,0.33,0.27,0.26,0.26,0.33,0.36
"01-01-2015",0.29,0.23,0.3,0.25,0.26,0.33,0.28
"01-02-2015",0.26,0.29,0.35,0.24,0.32,0.36,0.39
"01-03-2015",0.25,0.21,0.28,0.27,0.24,0.32,0.31
"01-04-2015",0.23,0.2,0.26,0.24,0.23,0.26,0.33
"01-05-2015",0.24,0.17,0.28,0.27,0.2,0.24,0.33
"01-06-2015",0.28,0.23,0.23,0.24,0.21,0.29,0.34
"01-07-2015",0.26,0.22,0.3,0.24,0.23,0.31,0.31
"01-08-2015",0.24,0.19,0.29,0.25,0.2,0.28,0.32
"01-09-2015",0.27,0.27,0.35,0.29,0.25,0.31,0.28
"01-10-2015",0.27,0.19,0.33,0.25,0.26,0.31,0.35
"01-11-2015",0.31,0.27,0.27,0.28,0.22,0.31,0.35
"01-12-2015",0.27,0.25,0.26,0.29,0.32,0.36,0.35
"01-01-2016",0.27,0.22,0.32,0.26,0.28,0.3,0.3
"01-02-2016",0.32,0.24,0.34,0.34,0.28,0.32,0.33
"01-03-2016",0.36,0.23,0.31,0.29,0.24,0.25,0.33
"01-04-2016",0.29,0.24,0.31,0.24,0.28,0.32,0.38
"01-05-2016",0.29,0.34,0.28,0.29,0.32,0.41,0.43
